n_ID	s_NAME	n_QUATITY_STACK
530	Blue Jade Mold(5%)	25
531	Blue Jade Mold(10%)	25
532	Blue Jade Mold(20%)	25
533	Blue Jade Mold(40%)	25
534	Blue Jade Mold(80%)	25
535	Blue Jade Mold(100%)	25
536	Set Reward	1
537	[Wilderness Passing] Set	1
538	[Instructor] Set	1
539	[War Machine] Set	1
540	[God Fire] Set	1
541	[Abyss Armor] Set	1
542	Broken Fragment-Sea Phantom	1
543	Broken Fragment-Nelson	1
544	Broken Fragment-Odyssey	1
545	Broken Fragment-Plato	1
546	Broken Fragment-Jason	1
547	Broken Fragment-Medea	1
548	Broken Fragment-Drake	1
549	Broken Fragment-Rosemary	1
550	Broken Fragment-Angelina	1
551	Broken Fragment-Bismarck	1
552	Broken Fragment-Columbus	1
553	Broken Fragment-Magellan	1
554	Broken Fragment-Hammer of Judgment	1
555	Broken Fragment-Poseidon servant	1
556	Broken Fragment-Ancyn Grip	1
557	Broken Fragment-Lydiana Melody	1
558	Broken Fragment-Treasure Hunter Bag	1
559	Broken Fragment-Night  Evilteeth	1
560	Broken Fragment-Assault Boat Key	1
561	Broken Fragment-Judge Certificate	1
562	Broken Wastepaper	1
563	Yellow Paper	1
601	Falling Sun Complete Warranty	1
603	Poseidon Hall Complete Warranty	1
604	Kraken Lair Complete Warranty	1
605	Doom Church Complete Warranty	1
606	Hell Trial Complete Warranty	1
607	Skyfire Tower Complete Warranty	1
608	Rough Sea Fortress Complete Warranty	1
701	Wrought iron Relic	25
702	Cast iron Relic	25
703	Smelt iron Relic	25
704	refine Iron Relic	25
751	Nutrition Soda	25
752	Nutrition Biscuit	25
753	Nutrition Bunopang	25
754	Nutrition Dango	25
801	Blue Sea Fragment LV.40	999
802	Blue Sea Fragment LV.50	999
803	Blue Sea Fragment LV.60	999
804	Blue Sea Fragment LV.70	999
805	Blue Sea Fragment LV.80	999
806	Blue Sea Fragment LV.90	999
807	Blue Sea Fragment LV.100	999
808	Blue Sea Fragment LV.110	999
809	Blue Sea Fragment LV.115	999
901	Blue Sea Fragment Pack LV.40	999
903	Blue Sea Fragment Pack LV.60	999
904	Blue Sea Fragment Pack LV.70	999
905	Blue Sea Fragment Pack LV.80	999
906	Blue Sea Fragment Pack LV.90	999
907	Blue Sea Fragment Pack LV.100	999
908	Blue Sea Fragment Pack LV.110	999
909	Blue Sea Fragment Pack LV.115	999
1001	Hammer of Judgment	1
1002	Poseidon servant	1
1003	Ancyn Grip	1
1004	Lydiana Melody	1
1005	Treasure Hunter Bag	1
1006	Night  Evilteeth	1
1007	Caille Assault Boat Key	1
1008	Judge Certificate	1
1009	Hammer of Judgment: Dusk	1
1010	Hammer of Judgment: Dawn	1
1011	Hammer of Judgment: Rising Sun	1
1012	Hammer of Judgment: Hot Sun	1
1013	Poseidon Instrument	1
1014	Poseidon servant: Ocean	1
1015	Poseidon servant: Rough	1
1101	Mithril Burner	1
1102	White Beard Pipe	1
1103	Pearlshell Conch	1
1104	Destiny Triangle	1
1105	Remains Skull	1
1106	Exorcise Bell	1
1107	Imprisonment Of Light	1
1108	Exorcise Whip	1
1109	Luminous Fruit	1
1110	Holy Cross Syringe	1
1111	Night Candelabrum	1
1112	Muse Umbrella	1
1113	Double Dragon Guard	1
1114	Destroy Atom	1
1115	Cold Ice Crystal	1
1116	Seven Sea Pearl	1
1117	Paine Bottle	1
1118	Thorough Eye	1
1119	Chic Cap	1
1132	Tree Of Life	1
1133	Fire Fort Barbette	1
1134	Spring Bed	1
1135	Soul Controller	1
1136	Camouflage Item-Bench	1
1137	Camouflage Item-Bullet board	1
1138	Camouflage Item-Bread Booth	1
1139	Camouflage Item-Tree	1
1140	Camouflage Item-Wooden Bench	1
1141	Camouflage Item-Streetlights	1
1142	Rumpled Paper	1
1143	Dirty Paper	1
1144	Stinking Paper	1
1201	Earth Element LV.1	999
1202	Earth Element LV.2	999
1203	Earth Element LV.3	999
1204	Earth Element LV.4	999
1205	Earth Element LV.5	999
1206	Earth Element LV.6	999
1207	Earth Element LV.7	999
1208	Earth Element LV.8	999
1209	Earth Element LV.9	999
1210	Earth Element LV.10	999
1226	Water Element LV.1	999
1227	Water Element LV.2	999
1228	Water Element LV.3	999
1229	Water Element LV.4	999
1230	Water Element LV.5	999
1231	Water Element LV.6	999
1232	Water Element LV.7	999
1233	Water Element LV.8	999
1234	Water Element LV.9	999
1235	Water Element LV.10	999
1251	Fire Element LV.1	999
1252	Fire Element LV.2	999
1253	Fire Element LV.3	999
1254	Fire Element LV.4	999
1255	Fire Element LV.5	999
1256	Fire Element LV.6	999
1257	Fire Element LV.7	999
1258	Fire Element LV.8	999
1259	Fire Element LV.9	999
1260	Fire Element LV.10	999
1276	Wind Element LV.1	999
1277	Wind Element LV.2	999
1278	Wind Element LV.3	999
1279	Wind Element LV.4	999
1280	Wind Element LV.5	999
1281	Wind Element LV.6	999
1282	Wind Element LV.7	999
1283	Wind Element LV.8	999
1284	Wind Element LV.9	999
1285	Wind Element LV.10	999
1301	Al Timo Energy Stone	999
1302	Jellyfish Mucus	999
1303	Mutation Jellyfish Crystal	999
1304	Duke Gun Barrel	999
1305	Beirut Shield	999
1306	Tank Gunpowder	999
1309	Media Crystal	999
1331	Old Fishing Net	999
1332	Ceramic Clod	999
1333	Black Iron Clod	999
1334	Black Powder	999
1335	Red Flame Iron	999
1336	Heat Ceramic Clod	999
1337	Empire of Mu Energy Vessel	999
2001	Port Royal Key (Blue)	1
2002	Port Royal Key (Red)	1
2003	Port Royal Key (Purple)	1
2004	Port Royal Key (Green)	1
2005	Port Royal Key (Yellow)	1
2006	Prison Key (Purple)	1
2007	Prison Key (Blue)	1
2008	Prison Key (Red)	1
2009	Prison Key (Yellow)	1
2010	Prison Key (Green)	1
2011	Paradise Island Key (Yellow)	1
2012	Paradise Island Key (Purple)	1
2013	Paradise Island Key (Red)	1
2014	Paradise Island Key (Green)	1
2015	Paradise Island Key (Blue)	1
2016	Slave Key (Yellow)	1
2017	Slave Key (Red)	1
2018	Slave Key (Purple)	1
2019	Slave Key (Blue)	1
2020	Slave Key (Green)	1
2021	Evil Port Key (Purple)	1
2022	Evil Port Key (Yellow)	1
2023	Evil Port Key (Red)	1
2024	Evil Port Key (Blue)	1
2025	Evil Port Key (Green)	1
2026	Ocean Key (Red)	1
2027	Ocean Key (Yellow)	1
2028	Ocean Key (Green)	1
2029	Ocean Key (Purple)	1
2030	Ocean Key (Blue)	1
2031	Voodoo Island Key (Green)	1
2032	Voodoo Island Key (Yellow)	1
2033	Voodoo Island Key (Red)	1
2034	Voodoo Island Key (Blue)	1
2035	Voodoo Island Key (Purple)	1
2036	Silver Harbour Key (Red)	1
2037	Silver Harbour Key (Green)	1
2038	Silver Harbour Key (Blue)	1
2039	Silver Harbour Key (Purple)	1
2040	Silver Harbour Key (Yellow)	1
2041	Death City Key (Red)	1
2042	Death City Key (Yellow)	1
2043	Death City Key (Purple)	1
2044	Death City Key (Green)	1
2045	Death City Key (Blue)	1
2046	Temple Key (Red)	1
2047	Temple Key (Yellow)	1
2048	Temple Key (Purple)	1
2049	Temple Key (Blue)	1
2050	Temple Key (Green)	1
2051	Drake Key (Yellow)	1
2052	Drake Key (Red)	1
2053	Drake Key (Purple)	1
2054	Drake Key (Blue)	1
2055	Drake Key (Green)	1
2056	Volcanic Island Key (Purple)	1
2057	Volcanic Island Key (Red)	1
2058	Volcanic Island Key (Yellow)	1
2059	Volcanic Island Key (Blue)	1
2060	Volcanic Island Key (Green)	1
2061	Eden Key (Purple)	1
2062	Eden Key (Yellow)	1
2063	Eden Key (Red)	1
2064	Eden Key (Green)	1
2065	Eden Key (Blue)	1
2066	Sunset Key (Yellow)	1
2067	Sunset Key (Red)	1
2068	Sunset Key (Purple)	1
2069	Sunset Key (Green)	1
2070	Sunset Key (Blue)	1
3001	War Crystal Lv.1	1
3002	Flame Crystal Lv.1	1
3003	Turmoil Crystal Lv.1	1
3004	Wrangle Crystal Lv.1	1
3005	Justice Crystal Lv.1	1
3006	Weapon Crystal Lv.1	1
3007	Wrestle Crystal Lv.1	1
3008	Confrontation Crystal Lv.1	1
3009	Outcome Crystal Lv.1	1
3010	Declare War Crystal Lv.1	1
3011	Coercion Crystal Lv.1	1
3012	Horror Crystal Lv.1	1
3013	Tight Crystal Lv.1	1
3014	Violence Crystal Lv.1	1
3015	Blood Crystal Lv.1	1
3016	Madness Crystal Lv.1	1
3017	Poor Soldier Crystal Lv.1	1
3018	Biochemistry Crystal Lv.1	1
3019	Modivid Crystal Lv.1	1
3020	Protect Crystal Lv.1	1
3021	Fort Crystal Lv.1 Lv1	1
3022	Imperial Crystal Lv.1	1
3023	Aversion Crystal Lv.1	1
3024	Cache Crystal Lv.1	1
3025	Predator Crystal Lv.1	1
3026	Cushion Crystal Lv.1	1
3027	Warn Crystal Lv.1	1
3028	Monitoring Crystal Lv.1	1
3029	Guard Crystal Lv.1	1
3030	Appease Crystal Lv.1	1
3031	Thunder Crystal Lv.1	1
3032	Sanction Crystal Lv.1	1
3033	Territory Crystal Lv.1	1
3034	Lockout Crystal Lv.1	1
3035	Chain Ring Crystal Lv.1	1
3036	One Heart Crystal Lv.1	1
3037	Improve Crystal Lv.1	1
3038	Familiar Crystal Lv.1	1
3039	Fracture Crystal Lv.1	1
3040	Security Crystal Lv.1	1
3041	Ministry Crystal Lv.1	1
3042	Compete Crystal Lv.1	1
3043	Calm Crystal Lv.1	1
3044	Guide Crystal Lv.1	1
3045	Safe Crystal Lv.1	1
3046	Inspiration Crystal Lv.1	1
3047	Sober Crystal Lv.1	1
3048	Silent Crystal Lv.1	1
3049	Superiority Crystal Lv.1	1
3050	Curtain Night Crystal Lv.1	1
3051	Hope Crystal Lv.1	1
3052	Support Crystal Lv.1	1
3053	War Crystal Lv.2	1
3054	Flame Crystal Lv.2	1
3055	Turmoil Crystal Lv.2	1
3056	Wrangle Crystal Lv.2	1
3057	Justice Crystal Lv.2	1
3058	Weapon Crystal Lv.2	1
3059	Wrestle Crystal Lv.2	1
3060	Confrontation Crystal Lv.2	1
3061	Outcome Crystal Lv.2	1
3062	Declare War Crystal Lv.2	1
3063	Coercion Crystal Lv.2	1
3064	Horror Crystal Lv.2	1
3065	Tight Crystal Lv.2	1
3066	Violence Crystal Lv.2	1
3067	Blood Crystal Lv.2	1
3068	Madness Crystal Lv.2	1
3069	Poor Soldier Crystal Lv.2	1
3070	Biochemistry Crystal Lv.2	1
3071	Modivid Crystal Lv.2	1
3072	Protect Crystal Lv.2	1
3073	Fort Crystal Lv.2	1
3074	Imperial Crystal Lv.2	1
3075	Aversion Crystal Lv.2	1
3076	Cache Crystal Lv.2	1
3077	Predator Crystal Lv.2	1
3078	Cushion Crystal Lv.2	1
3079	Warn Crystal Lv.2	1
3080	Monitoring Crystal Lv.2	1
3081	Guard Crystal Lv.2	1
3082	Appease Crystal Lv.2	1
3083	Thunder Crystal Lv.2	1
3084	Sanction Crystal Lv.2	1
3085	Territory Crystal Lv.2	1
3086	Lockout Crystal Lv.2	1
3087	Chain Ring Crystal Lv.2	1
3088	One Heart Crystal Lv.2	1
3089	Improve Crystal Lv.2	1
3090	Familiar Crystal Lv.2	1
3091	Fracture Crystal Lv.2	1
3092	Security Crystal Lv.2	1
3093	Ministry Crystal Lv.2	1
3094	Compete Crystal Lv.2	1
3095	Calm Crystal Lv.2	1
3096	Guide Crystal Lv.2	1
3097	Safe Crystal Lv.2	1
3098	Inspiration Crystal Lv.2	1
3099	Sober Crystal Lv.2	1
3100	Silent Crystal Lv.2	1
3101	Superiority Crystal Lv.2	1
3102	Curtain Night Crystal Lv.2	1
3103	Hope Crystal Lv.2	1
3104	Support Crystal Lv.2	1
3105	War Crystal Lv.3	1
3106	Flame Crystal Lv.3	1
3107	Turmoil Crystal Lv.3	1
3108	Wrangle Crystal Lv.3	1
3109	Justice Crystal Lv.3	1
3110	Weapon Crystal Lv.3	1
3111	Wrestle Crystal Lv.3	1
3112	Confrontation Crystal Lv.3	1
3113	Outcome Crystal Lv.3	1
3114	Declare War Crystal Lv.3	1
3115	Coercion Crystal Lv.3	1
3116	Horror Crystal Lv.3	1
3117	Tight Crystal Lv.3	1
3118	Violence Crystal Lv.3	1
3119	Blood Crystal Lv.3	1
3120	Madness Crystal Lv.3	1
3121	Poor Soldier Crystal Lv.3	1
3122	Biochemistry Crystal Lv.3	1
3123	Kill Crystal Lv.3	1
3124	Defeat Crystal Lv.3	1
3125	Modivid Crystal Lv.3	1
3126	Protect Crystal Lv.3	1
3127	Fort Crystal Lv.3	1
3128	Imperial Crystal Lv.3	1
3129	Aversion Crystal Lv.3	1
3130	Cache Crystal Lv.3	1
3131	Predator Crystal Lv.3	1
3132	Cushion Crystal Lv.3	1
3133	Warn Crystal Lv.3	1
3134	Monitoring Crystal Lv.3	1
3135	Guard Crystal Lv.3	1
3136	Appease Crystal Lv.3	1
3137	Thunder Crystal Lv.3	1
3138	Sanction Crystal Lv.3	1
3139	Territory Crystal Lv.3	1
3140	Lockout Crystal Lv.3	1
3141	Chain Ring Crystal Lv.3	1
3142	One Heart Crystal Lv.3	1
3143	Border Crystal Lv.3	1
3144	Wilderness Crystal Lv.3	1
3145	Improve Crystal Lv.3	1
3146	Familiar Crystal Lv.3	1
3147	Fracture Crystal Lv.3	1
3148	Security Crystal Lv.3	1
3149	Ministry Crystal Lv.3	1
3150	Compete Crystal Lv.3	1
3151	Calm Crystal Lv.3	1
3152	Guide Crystal Lv.3	1
3153	Safe Crystal Lv.3	1
3154	Inspiration Crystal Lv.3	1
3155	Sober Crystal Lv.3	1
3156	Silent Crystal Lv.3	1
3157	Superiority Crystal Lv.3	1
3158	Curtain Night Crystal Lv.3	1
3159	Hope Crystal Lv.3	1
3160	Support Crystal Lv.3	1
3161	Eternal Crystal Lv.3	1
3162	Intervene Crystal Lv.3	1
3163	War Crystal Lv.4	1
3164	Flame Crystal Lv.4	1
3165	Turmoil Crystal Lv.4	1
3166	Wrangle Crystal Lv.4	1
3167	Justice Crystal Lv.4	1
3168	Weapon Crystal Lv.4	1
3169	Wrestle Crystal Lv.4	1
3170	Confrontation Crystal Lv.4	1
3171	Outcome Crystal Lv.4	1
3172	Declare War Crystal Lv.4	1
3173	Coercion Crystal Lv.4	1
3174	Horror Crystal Lv.4	1
3175	Tight Crystal Lv.4	1
3176	Violence Crystal Lv.4	1
3177	Blood Crystal Lv.4	1
3178	Madness Crystal Lv.4	1
3179	Poor Soldier Crystal Lv.4	1
3180	Biochemistry Crystal Lv.4	1
3181	Kill Crystal Lv.4	1
3182	Defeat Crystal Lv.4	1
3183	Modivid Crystal Lv.4	1
3184	Protect Crystal Lv.4	1
3185	Fort Crystal Lv.4	1
3186	Imperial Crystal Lv.4	1
3187	Aversion Crystal Lv.4	1
3188	Cache Crystal Lv.4	1
3189	Predator Crystal Lv.4	1
3190	Cushion Crystal Lv.4	1
3191	Warn Crystal Lv.4	1
3192	Monitoring Crystal Lv.4	1
3193	Guard Crystal Lv.4	1
3194	Appease Crystal Lv.4	1
3195	Thunder Crystal Lv.4	1
3196	Sanction Crystal Lv.4	1
3197	Territory Crystal Lv.4	1
3198	Lockout Crystal Lv.4	1
3199	Chain Ring Crystal Lv.4	1
3200	One Heart Crystal Lv.4	1
3201	Border Crystal Lv.4	1
3202	Wilderness Crystal Lv.4	1
3203	Improve Crystal Lv.4	1
3204	Familiar Crystal Lv.4	1
3205	Fracture Crystal Lv.4	1
3206	Security Crystal Lv.4	1
3207	Ministry Crystal Lv.4	1
3208	Compete Crystal Lv.4	1
3209	Calm Crystal Lv.4	1
3210	Guide Crystal Lv.4	1
3211	Safe Crystal Lv.4	1
3212	Inspiration Crystal Lv.4	1
3213	Sober Crystal Lv.4	1
3214	Silent Crystal Lv.4	1
3215	Superiority Crystal Lv.4	1
3216	Curtain Night Crystal Lv.4	1
3217	Hope Crystal Lv.4	1
3218	Support Crystal Lv.4	1
3219	Eternal Crystal Lv.4	1
3220	Intervene Crystal Lv.4	1
3221	War Crystal Lv.5	1
3222	Flame Crystal Lv.5	1
3223	Turmoil Crystal Lv.5	1
3224	Wrangle Crystal Lv.5	1
3225	Justice Crystal Lv.5	1
3226	Weapon Crystal Lv.5	1
3227	Wrestle Crystal Lv.5	1
3228	Confrontation Crystal Lv.5	1
3229	Outcome Crystal Lv.5	1
3230	Declare War Crystal Lv.5	1
3231	Coercion Crystal Lv.5	1
3232	Horror Crystal Lv.5	1
3233	Tight Crystal Lv.5	1
3234	Violence Crystal Lv.5	1
3235	Blood Crystal Lv.5	1
3236	Madness Crystal Lv.5	1
3237	Poor Soldier Crystal Lv.5	1
3238	Biochemistry Crystal Lv.5	1
3239	Kill Crystal Lv.5	1
3240	Defeat Crystal Lv.5	1
3241	Modivid Crystal Lv.5	1
3242	Protect Crystal Lv.5	1
3243	Fort Crystal Lv.5	1
3244	Imperial Crystal Lv.5	1
3245	Aversion Crystal Lv.5	1
3246	Cache Crystal Lv.5	1
3247	Predator Crystal Lv.5	1
3248	Cushion Crystal Lv.5	1
3249	Warn Crystal Lv.5	1
3250	Monitoring Crystal Lv.5	1
3251	Guard Crystal Lv.5	1
3252	Appease Crystal Lv.5	1
3253	Thunder Crystal Lv.5	1
3254	Sanction Crystal Lv.5	1
3255	Territory Crystal Lv.5	1
3256	Lockout Crystal Lv.5	1
3257	Chain Ring Crystal Lv.5	1
3258	One Heart Crystal Lv.5	1
3259	Border Crystal Lv.5	1
3260	Wilderness Crystal Lv.5	1
3261	Improve Crystal Lv.5	1
3262	Familiar Crystal Lv.5	1
3263	Fracture Crystal Lv.5	1
3264	Security Crystal Lv.5	1
3265	Ministry Crystal Lv.5	1
3266	Compete Crystal Lv.5	1
3267	Calm Crystal Lv.5	1
3268	Guide Crystal Lv.5	1
3269	Safe Crystal Lv.5	1
3270	Inspiration Crystal Lv.5	1
3271	Sober Crystal Lv.5	1
3272	Silent Crystal Lv.5	1
3273	Superiority Crystal Lv.5	1
3274	Curtain Night Crystal Lv.5	1
3275	Hope Crystal Lv.5	1
3276	Support Crystal Lv.5	1
3277	Eternal Crystal Lv.5	1
3278	Intervene Crystal Lv.5	1
3279	War Crystal Lv.6	1
3280	Flame Crystal Lv.6	1
3281	Turmoil Crystal Lv.6	1
3282	Wrangle Crystal Lv.6	1
3283	Justice Crystal Lv.6	1
3284	Weapon Crystal Lv.6	1
3285	Wrestle Crystal Lv.6	1
3286	Confrontation Crystal Lv.6	1
3287	Outcome Crystal Lv.6	1
3288	Declare War Crystal Lv.6	1
3289	Coercion Crystal Lv.6	1
3290	Horror Crystal Lv.6	1
3291	Tight Crystal Lv.6	1
3292	Violence Crystal Lv.6	1
3293	Blood Crystal Lv.6	1
3294	Madness Crystal Lv.6	1
3295	Poor Soldier Crystal Lv.6	1
3296	Biochemistry Crystal Lv.6	1
3297	Kill Crystal Lv.6	1
3298	Defeat Crystal Lv.6	1
3299	Modivid Crystal Lv.6	1
3300	Protect Crystal Lv.6	1
3301	Fort Crystal Lv.6	1
3302	Imperial Crystal Lv.6	1
3303	Aversion Crystal Lv.6	1
3304	Cache Crystal Lv.6	1
3305	Predator Crystal Lv.6	1
3306	Cushion Crystal Lv.6	1
3307	Warn Crystal Lv.6	1
3308	Monitoring Crystal Lv.6	1
3309	Guard Crystal Lv.6	1
3310	Appease Crystal Lv.6	1
3311	Thunder Crystal Lv.6	1
3312	Sanction Crystal Lv.6	1
3313	Territory Crystal Lv.6	1
3314	Lockout Crystal Lv.6	1
3315	Chain Ring Crystal Lv.6	1
3316	One Heart Crystal Lv.6	1
3317	Border Crystal Lv.6	1
3318	Wilderness Crystal Lv.6	1
3319	Improve Crystal Lv.6	1
3320	Familiar Crystal Lv.6	1
3321	Fracture Crystal Lv.6	1
3322	Security Crystal Lv.6	1
3323	Ministry Crystal Lv.6	1
3324	Compete Crystal Lv.6	1
3325	Calm Crystal Lv.6	1
3326	Guide Crystal Lv.6	1
3327	Safe Crystal Lv.6	1
3328	Inspiration Crystal Lv.6	1
3329	Sober Crystal Lv.6	1
3330	Silent Crystal Lv.6	1
3331	Superiority Crystal Lv.6	1
3332	Curtain Night Crystal Lv.6	1
3333	Hope Crystal Lv.6	1
3334	Support Crystal Lv.6	1
3335	Eternal Crystal Lv.6	1
3336	Intervene Crystal Lv.6	1
3337	War Crystal Lv.7	1
3338	Flame Crystal Lv.7	1
3339	Turmoil Crystal Lv.7	1
3340	Wrangle Crystal Lv.7	1
3341	Justice Crystal Lv.7	1
3342	Weapon Crystal Lv.7	1
3343	Wrestle Crystal Lv.7	1
3344	Confrontation Crystal Lv.7	1
3345	Outcome Crystal Lv.7	1
3346	Declare War Crystal Lv.7	1
3347	Coercion Crystal Lv.7	1
3348	Horror Crystal Lv.7	1
3349	Tight Crystal Lv.7	1
3350	Violence Crystal Lv.7	1
3351	Blood Crystal Lv.7	1
3352	Madness Crystal Lv.7	1
3353	Poor Soldier Crystal Lv.7	1
3354	Biochemistry Crystal Lv.7	1
3355	Kill Crystal Lv.7	1
3356	Defeat Crystal Lv.7	1
3357	Modivid Crystal Lv.7	1
3358	Protect Crystal Lv.7	1
3359	Fort Crystal Lv.7	1
3360	Imperial Crystal Lv.7	1
3361	Aversion Crystal Lv.7	1
3362	Cache Crystal Lv.7	1
3363	Predator Crystal Lv.7	1
3364	Cushion Crystal Lv.7	1
3365	Warn Crystal Lv.7	1
3366	Monitoring Crystal Lv.7	1
3367	Guard Crystal Lv.7	1
3368	Appease Crystal Lv.7	1
3369	Thunder Crystal Lv.7	1
3370	Sanction Crystal Lv.7	1
3371	Territory Crystal Lv.7	1
3372	Lockout Crystal Lv.7	1
3373	Chain Ring Crystal Lv.7	1
3374	One Heart Crystal Lv.7	1
3375	Border Crystal Lv.7	1
3376	Wilderness Crystal Lv.7	1
3377	Improve Crystal Lv.7	1
3378	Familiar Crystal Lv.7	1
3379	Fracture Crystal Lv.7	1
3380	Security Crystal Lv.7	1
3381	Ministry Crystal Lv.7	1
3382	Compete Crystal Lv.7	1
3383	Calm Crystal Lv.7	1
3384	Guide Crystal Lv.7	1
3385	Safe Crystal Lv.7	1
3386	Inspiration Crystal Lv.7	1
3387	Sober Crystal Lv.7	1
3388	Silent Crystal Lv.7	1
3389	Superiority Crystal Lv.7	1
3390	Curtain Night Crystal Lv.7	1
3391	Hope Crystal Lv.7	1
3392	Support Crystal Lv.7	1
3393	Eternal Crystal Lv.7	1
3394	Intervene Crystal Lv.7	1
3395	War Crystal Lv.8	1
3396	Flame Crystal Lv.8	1
3397	Turmoil Crystal Lv.8	1
3398	Wrangle Crystal Lv.8	1
