n_ID	n_LEVEL_LEARN	s_ICON	n_PASSIVE	n_ISCLASS	n_SKILL_FRAME	n_ACHIEVEMENT	s_CONDITIONAL_SKILL	n_LEVELS	f_SP_LEVE1	f_SP_LEVEL2PLUS	s_CONDITIONAL_AMITY	n_PASSIVE_EFFECT	n_CD	n_TARGET	n_EQUIPTYPE	n_EQUIPTYPE_LHAND	n_STAMINA_COST	s_CAST_CONDITION	s_CAST_BEHAVIOR
92	1	IB000	2	0	0	0		1	1.0	0.0		0	112	5	0	0	0	GO(0)	CHASE(91)
93	1	IB000	2	0	0	0		1	1.0	0.0		0	1	0	0	0	0	BUFF_I(83,0,1)\nGO(0)	CHASE(82)\nCHASE(83)
94	1	IB000	2	0	0	0		1	1.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(84)
95	1	IB000	2	0	0	0		1	1.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(95)
96	1	IB000	2	0	0	0		1	1.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(96)
98	1	IB030	2	0	0	0		1	1.0	0.0		0	0	0	0	0	0	GO(0)	
99	1	IB030	2	63	0	0		1	1.0	0.0		0	25	1	0	0	0	GO(0)	
110	1	I_AGI5_1	2	0	0	0		1	1.0	0.0		0	1	0	0	0	22	GO(0)	CHASE(110)
111	1	IB004	2	0	0	0		1	0.20000000298023224	0.0		0	1	0	0	0	0	ISVIP_I(1)\nGO(0)	CHASE(111)\nSKIP(782)
112	1	I_AGI5_3	2	0	0	0		1	1.0	0.0		0	1	0	0	0	0	GO(0)	CHASE(112)
113	1	IB004	2	0	0	0		1	1.0	0.0		0	1	0	0	0	0	GO(0)	CHASE(113)
114	1	Icon_Emotion_003	2	0	0	0		1	1.0	0.0		0	1	0	0	0	0	GO(0)	CHASE(114)
201	1	IS201	2	0	0	0		120	0.0	0.0		0	1	1	0	0	0	BUFF_I(298,0,1)\nGO(0)	CHASE(201)\nCHASE(2010)
202	1	IS202	2	0	0	0		120	0.0	0.0		0	1	2	0	0	0	GO(0)	CHASE(202)
278	1	ICON_SWORD_003_002	2	0	0	0		120	0.0	0.0		0	0	0	0	0	0	BUFF_I(1,0,1)\nRATE(50);RANGE(278)\nRANGE(279)	SKIP(0)\nCHASE(278)\nCHASE(279)
280	1	ICON_SWORD_003_002	2	1	0	0		1	1.0	1.0		0	0	1	1	1	0	BUFF_I(1,0,1)\nRATE(50);RANGE(280)\nRANGE(281)	SKIP(0)\nCHASE(280)\nCHASE(281)
282	1	ICON_FIREARM_001_000	2	4	0	0		1	1.0	1.0		0	0	1	16	0	0	BUFF_I(1,0,1)\nRATE(50);RANGE(282)\nRANGE(283)	SKIP(0)\nCHASE(282)\nCHASE(283)
284	1	ICON_SSTICK_000_000	2	2	0	0		1	1.0	1.0		0	0	1	2	0	0	BUFF_I(1,0,1)\nRANGE(284)	SKIP(0)\nCHASE(284)
286	1	ICON_LSTICK_003_004	2	32	0	0		1	1.0	1.0		0	0	1	64	0	0	BUFF_I(1,0,1)\nRATE(50);RANGE(286)\nRANGE(287)	SKIP(0)\nCHASE(286)\nCHASE(287)
288	1	ICON_SKULL_003_004	2	16	0	0		1	1.0	1.0		0	0	1	8	0	0	BUFF_I(1,0,1)\nRATE(50);RANGE(288)\nRANGE(289)	SKIP(0)\nCHASE(288)\nCHASE(289)
290	1	ICON_SKULL_003_004	2	8	0	0		1	1.0	1.0		0	0	1	32	0	0	BUFF_I(1,0,1)\nRANGE(291)	SKIP(0)\nCHASE(291)
298	15	IB000	2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	GO(0)	CHASE(298)
299	1	IB000	2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	BUFF_I(298,0,1)	CHASE(299)
501	1		2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	GO(0)	CHASE(501)
502	1		2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	GO(0)	CHASE(502)
503	1		2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	GO(0)	CHASE(503)
504	1		2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	GO(0)	CHASE(504)
505	1		2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	GO(0)	CHASE(505)
510	1		2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	HP_SHIP=(1)\nGO(0)	SKIP(824)\nCHASE(510)
511	1		2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	HP_SHIP=(1)\nGO(0)	SKIP(824)\nCHASE(511)
512	1		2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	HP_SHIP=(1)\nGO(0)	SKIP(824)\nCHASE(512)
513	1		2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	HP_SHIP=(1)\nGO(0)	SKIP(824)\nCHASE(513)
520	1	IS120	5	0	0	0		1	1.0	1.0		0	520	0	0	0	0	GO(0)	CHASE(520)
521	1	IB048	5	0	0	0		1	1.0	1.0		0	521	0	0	0	0	GO(0)	CHASE(521)
522	1	IS120	5	0	0	0		1	1.0	1.0		0	522	0	0	0	0	GO(0)	CHASE(522)
523	1	IS120	5	0	0	0		1	1.0	1.0		0	523	0	0	0	0	GO(0)	CHASE(523)
524	1	IB048	5	0	0	0		1	1.0	1.0		0	524	0	0	0	0	GO(0)	CHASE(524)
525	1	IS120	5	0	0	0		1	1.0	1.0		0	525	0	0	0	0	GO(0)	CHASE(525)
526	1	IS120	5	0	0	0		1	1.0	1.0		0	526	0	0	0	0	GO(0)	CHASE(526)
527	1	IB048	5	0	0	0		1	1.0	1.0		0	527	0	0	0	0	GO(0)	CHASE(527)
528	1	IS120	5	0	0	0		1	1.0	1.0		0	528	0	0	0	0	GO(0)	CHASE(528)
529	1	IS120	5	0	0	0		1	1.0	1.0		0	529	0	0	0	0	GO(0)	CHASE(529)
530	1	IB048	5	0	0	0		1	1.0	1.0		0	530	0	0	0	0	GO(0)	CHASE(530)
531	1	IS120	5	0	0	0		1	1.0	1.0		0	531	0	0	0	0	GO(0)	CHASE(531)
550	1	IS161	5	0	0	0		1	1.0	1.0		0	550	0	0	0	0	GO(0)	CHASE(550)
551	1	IB020	5	0	0	0		1	1.0	1.0		0	551	0	0	0	0	GO(0)	CHASE(551)
552	1	IB009	5	0	0	0		1	1.0	1.0		0	552	0	0	0	0	GO(0)	CHASE(552)
553	1	IB005	5	0	0	0		1	1.0	1.0		0	553	0	0	0	0	GO(0)	CHASE(553)
554	1	IB011	5	0	0	0		1	1.0	1.0		0	554	0	0	0	0	GO(0)	CHASE(554)
555	1	IB011	5	0	0	0		1	1.0	1.0		0	555	0	0	0	0	GO(0)	CHASE(555)
556	1	I_STR4_1	5	0	0	0		1	1.0	1.0		0	556	0	0	0	0	GO(0)	CHASE(556)
557	1	ISV003	5	0	0	0		1	1.0	1.0		0	557	0	0	0	0	GO(0)	CHASE(557)
600	1	IS1211	5	0	0	0		1	1.0	1.0		0	600	0	0	0	0	GO(0)	CHASE(600)
601	1	IS1610	5	0	0	0		1	1.0	1.0		0	601	0	0	0	0	GO(0)	CHASE(601)
602	1	IS1200	5	0	0	0		1	1.0	1.0		0	602	0	0	0	0	GO(0)	CHASE(602)
603	1	IS1210	5	0	0	0		1	1.0	1.0		0	603	0	0	0	0	GO(0)	CHASE(603)
604	1	ICON_STONE_002_000	5	0	0	0		1	1.0	1.0		0	604	0	0	0	0	GO(0)	CHASE(604)
605	1	ICON_MISSION_017_000	5	0	0	0		1	1.0	1.0		0	605	0	0	0	0	GO(0)	CHASE(605)
650	1	IS1211	5	0	0	0		1	1.0	1.0		0	650	0	0	0	0	GO(0)	CHASE(650)
651	1	IS1610	5	0	0	0		1	1.0	1.0		0	651	0	0	0	0	GO(0)	CHASE(651)
652	1	IS1200	5	0	0	0		1	1.0	1.0		0	652	0	0	0	0	GO(0)	CHASE(652)
653	1	IS1210	5	0	0	0		1	1.0	1.0		0	653	0	0	0	0	GO(0)	CHASE(653)
654	1	ICON_STONE_002_000	5	0	0	0		1	1.0	1.0		0	654	0	0	0	0	GO(0)	CHASE(654)
655	1	ICON_MISSION_017_000	5	0	0	0		1	1.0	1.0		0	655	0	0	0	0	GO(0)	CHASE(655)
1003	20	IB049	2	0	0	0		1	1.0	1.0		0	25	2	0	0	0	RANGE(2949)	CHASE(2949)
2950	40	IB049	2	0	0	0		1	1.0	1.0	525;1	0	38	2	0	0	0	RANGE(2950)	CHASE(2950)
2951	20	IS002	2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	GO(0)	CHASE(2951)
2952	20	IB049	2	0	0	0		1	1.0	1.0		0	38	2	0	0	0	BUFF_ALLY(2951,0,1);RANGE(2952)	CHASE(2952)
2953	1	IB049	2	0	0	0		1	1.0	1.0		0	0	0	0	0	0	BUFF_I(298,0,1);HAS_SKILL_I(2954)\nGO(0)	CHASE(2954)\nCHASE(2953)
2954	45	IB049	1	0	0	0	2950;1	1	1.0	1.0	2625;1	0	0	0	0	0	0		
2955	45	IB050	2	0	0	0		1	1.0	1.0	1750;1	0	38	2	0	0	0	RANGE(2955)	CHASE(2955)
2956	1	IB050	2	0	0	0		1	1.0	1.0		0	1	2	0	0	0	RANGE(2956)	CHASE(2956)
2957	45	IS002	2	0	0	0		1	1.0	1.0	3675;1	0	1	2	0	0	25	RANGE(2957)	CHASE(2957)
2960	45	IST000	2	0	0	0		1	1.0	1.0	4900;2	0	19	0	0	0	0	GO(0)	CHASE(2960)
2961	1	IST000	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	BUFF_I(2960,0,1)	CHASE(2961)
2962	1	IST000	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	BUFF_I(2961,0,1)	CHASE(2962)
2965	55	IST002	2	0	0	0		1	1.0	1.0	6300;2	0	20	0	0	0	0	GO(0)	CHASE(2965)
2966	1	IST002	2	0	0	0		1	1.0	1.0		0	1	2	0	0	0	BUFF_I(2966,0,1)	CHASE(2966)
2967	1	IST002	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(2967)
2968	65	IST001	2	0	0	0		1	1.0	1.0	7875;3	0	21	0	0	0	0	GO(0)	CHASE(2968)
2969	1	IST001	2	0	0	0		1	1.0	1.0		0	1	0	0	0	0	GO(0)	CHASE(2969)
2970	1	IST001	2	0	0	0		1	1.0	1.0	70;7	0	1	0	0	0	0	BUFF_I(2969,0,1)	CHASE(2970)
2971	70	IST005	2	0	0	0		1	1.0	1.0	9215;4	0	22	1	0	0	20	RANGE(2971)	CHASE(2971)
2972	1	IST005	2	0	0	0		1	1.0	1.0		0	293	2	0	0	0	RANGE(2972)	CHASE(2972)
2973	1	IST005	2	0	0	0		1	1.0	1.0		0	0	1	0	0	0	BUFF_I(2972,0,4);RANGE(2973)\nBUFF_I(2972,0,3);RANGE(2974)	CHASE(2973)\nCHASE(2974)
2975	40	IST004	2	0	0	0		1	1.0	1.0	1050;1	0	39	1	0	0	0	RANGE(2975)	CHASE(2975)
2976	1	IST004	2	0	0	0		1	1.0	1.0		0	39	2	0	0	0	RANGE(2976)	CHASE(2976)
2977	1	IST004	2	0	0	0		1	1.0	1.0		0	0	1	0	0	0	BUFF_I(2976,0,2);RANGE(2977)\nGO(0)	CHASE(2977)\nSKIP(0)
2978	35	IST007	2	0	0	0		1	1.0	1.0	175;1	0	27	2	0	0	0	RANGE(2978)	CHASE(2978)
2979	1	IB013	2	0	0	0		1	1.0	1.0		0	1	1	0	0	0	DISTANCE_ENEMY>(2000);RANGE(2980)\nDISTANCE_ENEMY<(2000);DISTANCE_ENEMY>(800);RANGE(2981)\nRANGE(2982)	CHASE(2980)\nCHASE(2981)\nCHASE(2982)
3000	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3000)
3001	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3001)
3002	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3002)
3003	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3003)
3004	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3004)
3005	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3005)
3006	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3006)
3007	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3007)
3008	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3008)
3009	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3009)
3010	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3010)
3011	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3011)
3012	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3012)
3013	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3013)
3014	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3014)
3015	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3015)
3016	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3016)
3017	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3017)
3018	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3018)
3019	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3019)
3020	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3020)
3021	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3021)
3022	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3022)
3023	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3023)
3024	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3024)
3025	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3025)
3026	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3026)
3027	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3027)
3028	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3028)
3029	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3029)
3030	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3030)
3031	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3031)
3032	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3032)
3033	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3033)
3034	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3034)
3035	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3035)
3036	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3036)
3037	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3037)
3038	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3038)
3039	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3039)
3040	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3040)
3041	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3041)
3042	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3042)
3043	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3043)
3044	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3044)
3045	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3045)
3046	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3046)
3047	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3047)
3048	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3048)
3049	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3049)
3050	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3050)
3051	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3051)
3052	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3052)
3053	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3053)
3054	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3054)
3055	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3055)
3056	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3056)
3057	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3057)
3058	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3058)
3059	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3059)
3060	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3060)
3061	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3061)
3062	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3062)
3063	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3063)
3064	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3064)
3065	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3065)
3066	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3066)
3067	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3067)
3068	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3068)
3069	1	S_SKILL_0	3	0	0	0		1	0.0	0.0		0	0	0	0	0	0	GO(0)	CHASE(3069)
