n_ID	n_EXP_CURRENTLV	n_POINT_ABILITY	n_DEADLOSS	n_PVP_EXP	n_PVP_SP	n_PVP_MONEY	n_DEFENCE_CONSTANT
158	207168117	22	13137645	55380	27690	0	116193
159	209725748	22	13319198	57036	28518	0	119934
160	212283380	22	13501222	58740	29370	0	123771
161	214841012	23	13683719	60492	30246	0	127706
162	217398641	23	13866688	62292	31146	0	131741
163	219956273	23	14050129	64140	32070	0	135877
164	222513905	23	14234043	66042	33021	0	140116
165	225071535	23	14418428	67998	33999	0	144459
166	227629166	24	14603286	70008	35004	0	148908
167	230186798	24	14788616	72072	36036	0	153464
168	232744428	24	14974418	74196	37098	0	158129
169	235302059	24	15160692	76380	38190	0	162904
170	237859691	24	15347439	78624	39312	0	167791
171	240417321	25	15534657	80928	40464	0	172807
172	242974953	25	15699920	83298	41649	0	177956
173	245532584	25	15865182	85734	42867	0	183241
174	248090217	25	16030444	88236	44118	0	188664
175	250647846	25	16195706	90810	45405	0	194229
176	253205477	26	16360969	93456	46728	0	199939
177	255763110	26	16526231	96174	48087	0	205797
178	258320739	26	16691493	98970	49485	0	211806
179	260878371	26	16856756	101844	50922	0	217969
180	263436003	26	17022018	104796	52398	0	224290
181	265993632	27	17187280	107832	53916	0	230771
182	268551264	27	17352543	110952	55476	0	237417
183	271108896	27	17517805	114162	57081	0	244230
184	273666525	27	17683067	117462	58731	0	251214
185	276224157	27	17848330	120852	60426	0	258373
186	278781789	28	18013592	124338	62169	0	265710
187	281339418	28	18178854	127920	63960	0	273229
188	283897050	28	18344117	131604	65802	0	280934
189	286454682	28	18509379	135390	67695	0	288828
190	289012314	28	18674641	139284	69642	0	296915
191	291569943	29	18839904	143286	71643	0	305198
192	294127575	29	19005166	147402	73701	0	313682
193	296685207	29	19170428	151632	75816	0	322370
194	299242836	29	19335690	155982	77991	0	331267
195	301800469	29	19500953	160452	80226	0	340376
196	304358100	30	19666215	165048	82524	0	349702
197	306915729	30	19831477	169770	84885	0	359248
198	309473362	30	19996740	174624	87312	0	369019
199	312030993	30	20162002	179616	89808	0	379019
200	314588623	30	20327264	184746	92373	0	389252
201	317146255	31	20492527	190020	95010	0	399722
202	319703887	31	20657789	195444	97722	0	410434
203	322261518	31	20823051	201018	100509	0	421392
204	324819148	31	20988314	206748	103374	0	432601
205	327376780	31	21153576	212640	106320	0	444064
206	329934411	32	21318838	218694	109347	0	455787
207	332492041	32	21484101	224916	112458	0	467774
208	335049673	32	21649363	231312	115656	0	480029
209	337607305	32	21814625	237888	118944	0	492557
210	340164934	32	21979888	244650	122325	0	505363
211	342722566	33	22145150	251604	125802	0	518451
212	345280198	33	22310412	258750	129375	0	531827
213	347837828	33	22475675	266094	133047	0	545494
214	350395459	33	22640937	273642	136821	0	559458
215	352953091	33	22806199	281400	140700	0	573724
216	355510723	34	22971462	289374	144687	0	588296
217	358068352	34	23136724	297570	148785	0	603179
218	360625984	34	23301986	305994	152997	0	618379
219	363183616	34	23467249	314652	157326	0	633900
220	365741246	34	23632511	323550	161775	0	649747
221	368298877	35	23797773	332694	166347	0	665925
222	370856509	35	23963035	342096	171048	0	682439
223	373414139	35	24128298	351762	175881	0	699295
224	375971770	35	24293560	361698	180849	0	716497
225	378529402	35	24458822	371910	185955	0	734051
226	381087032	36	24624085	382410	191205	0	751961
227	383644664	36	24789347	393204	196602	0	770233
228	386202295	36	24954609	404298	202149	0	788872
229	388759927	36	25119872	415704	207852	0	807883
230	391317557	36	25285134	427428	213714	0	827272
231	393875188	37	25450396	439482	219741	0	847043
232	396432820	37	25615659	451872	225936	0	867202
233	398990450	37	25780921	464610	232305	0	887754
234	401548082	37	25946183	477702	238851	0	908704
235	404105713	37	26111446	491160	245580	0	930058
236	406663343	38	26276708	504996	252498	0	951821
237	409220975	38	26441970	519216	259608	0	973998
238	411778606	38	26607233	533832	266916	0	996594
239	414336236	38	26772495	548856	274428	0	1019615
240	416893868	38	26937757	564300	282150	0	1043066
241	419451500	39	27103020	580176	290088	0	1066952
242	422009129	39	27268282	596496	298248	0	1091278
243	424566761	39	27433544	613272	306636	0	1116050
244	427124393	39	27598806	630516	315258	0	1141272
245	429682024	39	27764069	648240	324120	0	1166950
246	432239654	40	27929331	666462	333231	0	1193089
247	434797286	40	28094593	685194	342597	0	1219694
248	437354918	40	28259856	704448	352224	0	1246771
249	439912547	40	28425118	724242	362121	0	1274324
250	442470179	40	28590380	744588	372294	0	1302359
251	445027811	41	28755643	765504	382752	0	1330880
252	447585440	41	28920905	787002	393501	0	1359893
253	450143072	41	29086167	809100	404550	0	1389402
254	452700704	41	29251430	831816	415908	0	1419413
255	455258334	41	29416692	855168	427584	0	1449930
