n_ID	n_LEVEL_LEARN	s_ICON	n_PASSIVE	n_ISCLASS	n_SKILL_FRAME	n_ACHIEVEMENT	s_CONDITIONAL_SKILL	n_LEVELS	f_SP_LEVE1	f_SP_LEVEL2PLUS	s_CONDITIONAL_AMITY	n_PASSIVE_EFFECT	n_CD	n_TARGET	n_EQUIPTYPE	n_EQUIPTYPE_LHAND	n_STAMINA_COST	s_CAST_CONDITION	s_CAST_BEHAVIOR
40016	20	IS1240	2	1	0	0		4294967295	0.4000000059604645	1.0		40016	4016	1	1	1	18	BUFF_ENEMY(7151,0,1)\nKD_ENEMY(1);RANGE(40260)\nRANGE(40016)	CHASE(40261)\nCHASE(40260)\nCHASE(40016)
40017	60	IS111	2	1	0	50		1	4.0	1.0		0	4017	0	1	1	12	GO(0)	CHASE(40017)
40018	55	IS105	2	1	1	40		1	4.0	1.0		0	4018	0	1	1	0	GO(0)	CHASE(40018)
40019	70	IB022	2	1	0	70		1	4.0	1.0		0	4019	0	1	1	25	BUFF_I(298,0,1)\nGO(0)	CHASE(40019)\nSKIP(729)
40020	80	IS104	2	1	0	100		4294967295	0.4000000059604645	1.0		0	4020	0	1	1	30	BUFF_I(298,0,5)\nBUFF_I(298,0,4)\nBUFF_I(298,0,3)\nBUFF_I(298,0,1)\nGO(0)	CHASE(40302)\nCHASE(40301)\nCHASE(40300)\nCHASE(40020)\nSKIP(729)
40021	30	IB008	2	1	1	1		1	4.0	1.0		0	4021	0	1	1	0	GO(0)	CHASE(40021)
40022	80	I_PER1_2	1	1	0	90	40013;1	1	8.0	1.0		40022	0	0	0	0	0		
40023	15	IS108	2	1	0	0		4294967295	0.4000000059604645	1.0		40023	4023	1	1	1	5	RANGE(40023)	CHASE(40023)
40024	100	IS40024	2	1	0	130		4294967295	0.4000000059604645	1.0		40024	4024	0	1	1	20	BUFF_I(298,0,5)\nBUFF_I(298,0,4)\nBUFF_I(298,0,3)\nGO(0)	CHASE(40342)\nCHASE(40341)\nCHASE(40340)\nCHASE(40024)
40025	120	I_PER1_3	1	1	0	150	40022;1	1	8.0	1.0		40025	0	0	0	0	0		
41001	15	IS134	2	4	0	0		4294967295	0.4000000059604645	1.0		41001	4101	1	16	0	15	KD_ENEMY(1);RANGE(41110)\nRANGE(41001)	CHASE(41110)\nCHASE(41001)
41002	60	IS127	2	4	0	50		4294967295	0.4000000059604645	1.0		41002	4102	0	16	0	25	GO(0)	CHASE(41002)
41003	20	IB003	2	4	1	0		1	4.0	1.0		0	4103	0	16	0	0	GO(0)	CHASE(41003)
41004	55	IS200	2	4	0	40		1	4.0	1.0		0	4104	0	16	0	0	BUFF_I(298,0,1)\nGO(0)	CHASE(41004)\nSKIP(729)
41005	65	IS41005	2	4	0	60		1	4.0	1.0		0	4105	0	16	0	0	BUFF_I(298,0,1)\nGO(0)	CHASE(41005)\nSKIP(729)
41006	75	IS130	2	4	1	80		1	4.0	1.0		0	4106	0	16	0	18	GO(0)	CHASE(41006)
41007	40	I_INT3_1	1	4	0	0	41000;1	1	8.0	1.0		41007	0	0	0	0	0		
41008	25	IS41008	2	4	1	0		4294967295	0.4000000059604645	1.0		0	4108	4	16	0	18	GO(0)	CHASE(41008)
41009	100	IS41009	2	4	0	130		4294967295	0.4000000059604645	1.0		0	4109	4	16	0	25	BUFF_I(298,0,1)\nGO(0)	CHASE(41009)\nSKIP(729)
41010	80	I_INT3_2	1	4	0	90	41007;1	1	8.0	1.0		41010	0	0	0	0	0		
41011	5	IS120	2	4	0	0		4294967295	0.4000000059604645	1.0		41011	0	1	16	0	0	RANGE(41011)	CHASE(41011)
41012	15	IS131	2	4	0	0		4294967295	0.4000000059604645	1.0		41012	4112	1	16	0	18	RANGE(41222);BUFF_I(298,0,5)\nRANGE(41221);BUFF_I(298,0,4)\nRANGE(41220);BUFF_I(298,0,3)\nRANGE(41012)	CHASE(41222)\nCHASE(41221)\nCHASE(41220)\nCHASE(41012)
41013	30	IS1201	2	4	0	1		4294967295	0.4000000059604645	1.0		41013	4113	1	16	0	25	BUFF_I(298,0,1);RANGE(41013)\nGO(0)	CHASE(41013)\nSKIP(729)
41014	5	IS132	2	4	1	0		4294967295	0.4000000059604645	1.0		41014	4114	1	16	0	15	RANGE(41014)	CHASE(41014)
41015	80	IS1200	2	4	0	100		4294967295	0.4000000059604645	1.0		41015	4115	1	16	0	0	RANGE(41015);BUFF_I(298,0,1)\nGO(0)	CHASE(41015)\nSKIP(729)
41016	90	IB039	2	4	1	120		4294967295	0.4000000059604645	1.0		41016	4116	1	16	0	18	RANGE(41016)	CHASE(41016)
41017	45	IS123	2	4	0	20		4294967295	0.4000000059604645	1.0		41017	4117	1	16	0	0	RANGE(41017);BUFF_I(298,0,1)\nGO(0)	CHASE(41017)\nSKIP(729)
41018	115	IS1211	2	4	0	140		4294967295	0.4000000059604645	1.0		41018	4118	4	16	0	60	RANGE(41018);BUFF_I(298,0,3)\nGO(0)	CHASE(41018)\nSKIP(731)
41019	40	IS129	2	4	0	10		4294967295	0.4000000059604645	1.0		41019	4119	4	16	0	15	RANGE(41019)	CHASE(41019)
41020	5	IS1230	2	4	0	0		4294967295	0.4000000059604645	1.0		41020	4120	4	16	0	18	RANGE(41302);BUFF_I(298,0,5)\nRANGE(41301);BUFF_I(298,0,4)\nRANGE(41300);BUFF_I(298,0,3)\nRANGE(41020)	CHASE(41302)\nCHASE(41301)\nCHASE(41300)\nCHASE(41020)
41021	85	IS128	2	4	0	110		4294967295	0.4000000059604645	1.0		41021	4121	0	16	0	0	BUFF_I(298,0,1)\nGO(0)	CHASE(41021)\nSKIP(729)
41022	35	IS125	2	4	0	0		4294967295	0.4000000059604645	1.0		41022	4122	0	16	0	0	GO(0)	CHASE(41022)
41023	70	IS170	2	4	0	70		4294967295	0.4000000059604645	1.0		41023	4123	0	16	0	0	GO(0)	CHASE(41023)
41024	50	IS126	2	4	0	30		4294967295	0.4000000059604645	1.0		41024	4124	4	16	0	18	RANGE(41024)	CHASE(41024)
41025	120	I_INT3_3	1	4	0	150	41010;1	1	8.0	1.0		41025	0	0	0	0	0		
42001	5	IS42001	2	16	0	0		4294967295	0.4000000059604645	1.0		42001	4201	0	8	0	15	GO(0)	CHASE(42001)
42002	55	IS1811	2	16	0	40		4294967295	0.4000000059604645	1.0		42002	4202	0	8	0	25	BUFF_I(298,0,3)\nBUFF_I(298,0,2)\nBUFF_I(298,0,1)\nGO(0)	CHASE(42122)\nCHASE(42121)\nCHASE(42120)\nCHASE(42002)
42003	40	IS167	2	16	0	10		4294967295	0.4000000059604645	1.0		42003	4203	0	8	0	15	BUFF_I(298,0,1)\nGO(0)	CHASE(42003)\nSKIP(729)
42004	40	I_INT5_1	1	16	0	0	42000;1	1	8.0	1.0		42004	0	0	0	0	0		
42005	50	IS42005	2	16	1	30		4294967295	0.4000000059604645	1.0		42005	4205	0	8	0	20	GO(0)	CHASE(42150)
42006	45	IS42006	2	16	0	20		4294967295	0.4000000059604645	1.0		42006	0	0	8	0	75	GO(0)	CHASE(42160)
42007	115	IS42007	2	16	0	140		4294967295	0.4000000059604645	1.0		42007	4207	0	8	0	50	BUFF_I(298,0,5)\nGO(0)	CHASE(42007)\nSKIP(733)
42008	5	IS171	2	16	0	0		4294967295	0.4000000059604645	1.0		42008	0	1	8	0	5	RANGE(42008);BUFF_I(42181,0,1)\nRANGE(42008);BUFF_I(42180,0,1)\nRANGE(42008)	CHASE(42181)\nCHASE(42180)\nCHASE(42008)
42009	15	IS42009	2	16	1	0		4294967295	0.4000000059604645	1.0		42009	4209	1	8	0	15	RANGE(42009)	CHASE(42009)
42010	30	IS42010	2	16	1	1		4294967295	0.4000000059604645	1.0		42010	4210	1	8	0	15	RANGE(42010)	CHASE(42010)
42011	15	IS165	2	16	0	0		4294967295	0.4000000059604645	1.0		42011	4211	1	8	0	15	RANGE(42210);BUFF_I(298,0,3)\nRANGE(42011)	CHASE(42210)\nCHASE(42011)
42012	35	IS1820	2	16	0	0		1	4.0	1.0		0	4212	1	8	0	20	RANGE(42220);ENEMY_TARGET_ISPLAYER(1)\nRANGE(42012)	CHASE(42220)\nCHASE(42012)
42013	5	IS169	2	16	0	0		4294967295	0.4000000059604645	1.0		42013	0	1	8	0	0	RANGE(42013)	CHASE(42013)
42014	20	IS1810	2	16	0	0		4294967295	0.4000000059604645	1.0		42014	4214	1	8	0	0	RANGE(42240);BUFF_I(298,0,1)\nRANGE(42014)	CHASE(42240)\nCHASE(42014)
42015	25	IS166	2	16	1	0		1	4.0	1.0		0	4215	2	8	0	0	GO(0)	CHASE(42015)
42016	80	I_INT5_2	1	16	0	90	42004;1	1	8.0	1.0		42016	0	0	0	0	0		
42017	60	IS163	2	16	0	50		4294967295	0.4000000059604645	1.0		42017	4217	0	8	0	25	GO(0)	CHASE(42017)
42018	75	IS1801	2	16	0	80		4294967295	0.4000000059604645	1.0		42018	4218	4	8	0	20	GO(0)	CHASE(42018)
42019	80	IS1841	2	16	0	100		4294967295	0.4000000059604645	1.0		42019	4219	4	8	0	30	BUFF_I(298,0,1)\nGO(0)	CHASE(42019)\nSKIP(729)
42020	100	IS42020	2	16	0	130		4294967295	0.4000000059604645	1.0		42020	4220	0	8	0	50	BUFF_I(298,0,5)\nGO(0)	CHASE(42020)\nSKIP(733)
42021	85	IS133	2	16	0	110		4294967295	0.4000000059604645	1.0		42021	4221	4	8	0	50	BUFF_I(298,0,3)\nGO(0)	CHASE(42021)\nSKIP(731)
42022	70	IS1642	2	16	0	70		4294967295	0.4000000059604645	1.0		42022	4222	0	8	0	0	BUFF_I(298,0,1)\nGO(0)	CHASE(42022)\nSKIP(729)
42023	65	IB034	2	16	1	60		4294967295	0.4000000059604645	1.0		42023	4223	0	8	0	20	GO(0)	CHASE(42023)
42024	90	IB035	2	16	1	120		4294967295	0.4000000059604645	1.0		42024	4224	0	8	0	20	GO(0)	CHASE(42024)
42025	120	I_INT5_3	1	16	0	150	42016;1	1	8.0	1.0		42025	0	0	0	0	0		
42026	60	IS42026	2	16	0	50		4294967295	0.4000000059604645	1.0		42026	4226	0	8	0	25	BUFF_I(298,0,1)\nGO(0)	CHASE(42026)\nSKIP(729)
43001	90	IS43001	2	2	1	120		4294967295	0.4000000059604645	1.0		43001	4301	4	2	4	18	RANGE(43001)	CHASE(43001)
43002	30	IS140	2	2	1	1		4294967295	0.4000000059604645	1.0		0	4302	0	2	4	0	GO(0)	CHASE(43002)
43003	5	IS43003	2	2	0	0		4294967295	0.4000000059604645	1.0		43003	0	1	2	4	0	BUFF_I(43131,0,1)\nBUFF_I(43130,0,1)\nGO(0)	CHASE(43131)\nCHASE(43130)\nCHASE(43003)
43004	55	IS147	2	2	1	40		4294967295	0.4000000059604645	1.0		0	4304	0	2	4	12	GO(0)	CHASE(43004)
43005	65	IS43005	2	2	0	60		4294967295	0.4000000059604645	1.0		43005	4305	0	2	4	18	BUFF_I(298,0,1)\nGO(0)	CHASE(43005)\nSKIP(729)
43006	25	IS147a	2	2	0	0		4294967295	0.4000000059604645	1.0		43006	4306	0	2	4	0	GO(0)	CHASE(43006)
43007	15	IS1410	2	2	1	0		4294967295	0.4000000059604645	1.0		43007	4307	1	2	4	12	RANGE(43007)	CHASE(43007)
43008	5	IS143	2	2	0	0		4294967295	0.4000000059604645	1.0		43008	4308	1	2	4	0	KD_ENEMY(1,0);RANGE(43180)\nRANGE(43008)	CHASE(43180)\nCHASE(43008)
43009	85	IB017	2	2	0	110		4294967295	0.4000000059604645	1.0		43009	4309	1	2	4	0	RANGE(43009)	CHASE(43009)
43010	70	IS141	2	2	0	70		4294967295	0.4000000059604645	1.0		43010	4310	1	2	4	18	BUFF_I(298,0,3);HP_ENEMY<(0.3);RANGE(43010)\nHP_ENEMY<(0.2);RANGE(43010)\nRANGE(43010)	CHASE(43200)\nCHASE(43200)\nCHASE(43010)
43011	15	IS1431	2	2	0	0		4294967295	0.4000000059604645	1.0		43011	4311	1	2	4	15	BUFF_I(298,0,1);RANGE(43011)\nGO(0)	CHASE(43011)\nSKIP(729)
43012	50	IB000	2	2	0	30		4294967295	0.4000000059604645	1.0		0	4312	0	2	4	25	BUFF_I(298,0,1)\nGO(0)	CHASE(43012)\nSKIP(729)
43013	45	IS43013	2	2	0	20		4294967295	0.4000000059604645	1.0		43013	0	1	2	4	10	BUFF_I(298,0,1);BUFF_I(43232,0,1)\nBUFF_I(298,0,1);BUFF_I(43231,0,1)\nBUFF_I(298,0,1);BUFF_I(43230,0,1)\nBUFF_I(298,0,1)\nGO(0)	CHASE(43232)\nCHASE(43231)\nCHASE(43230)\nCHASE(43013)\nSKIP(729)
43014	20	IS43014	2	2	1	0		4294967295	0.4000000059604645	1.0		0	4314	0	2	4	12	GO(0)	CHASE(43014)
43015	60	IB010	2	2	1	50		4294967295	0.4000000059604645	1.0		0	4314	0	2	4	12	GO(0)	CHASE(43015)
43016	75	IS144	2	2	1	80		4294967295	0.4000000059604645	1.0		0	4314	0	2	4	12	GO(0)	CHASE(43016)
43017	115	IS43017	2	2	1	140		4294967295	0.4000000059604645	1.0		0	4317	0	2	4	0	GO(0)	CHASE(43017)
43018	40	IS1400	2	2	0	10		1	0.4000000059604645	1.0		0	4318	0	2	4	0	GO(0)	CHASE(43018)
43019	35	IS43019	2	2	0	0		4294967295	0.4000000059604645	1.0		43019	4319	2	2	4	15	RANGE(43019)	CHASE(43019)
43020	100	IS43020	2	2	0	130		4294967295	0.4000000059604645	1.0		43020	4320	0	2	4	20	BUFF_I(298,0,2)\nGO(0)	CHASE(43020)\nSKIP(730)
43021	5	IS43021	2	2	0	0		4294967295	0.4000000059604645	1.0		0	4321	1	2	4	9	RANGE(43021)	CHASE(43021)
43022	80	IB006	2	2	0	100		4294967295	0.4000000059604645	1.0		43022	4322	1	2	4	15	BUFF_I(298,0,1);RANGE(43022);DISTANCE_ENEMY>(800)\nBUFF_I(298,0,1);RANGE(43022);DISTANCE_ENEMY>(600)\nBUFF_I(298,0,1);RANGE(43022);DISTANCE_ENEMY>(400)\nBUFF_I(298,0,1);RANGE(43022);DISTANCE_ENEMY>(200)\nBUFF_I(298,0,1);RANGE(43022)\nGO(0)	CHASE(43022)\nCHASE(43320)\nCHASE(43321)\nCHASE(43322)\nCHASE(43323)\nSKIP(729)
43023	40	I_CON5_1	1	2	0	0	43000;1	1	8.0	1.0		43023	0	0	0	0	0		
43024	80	I_CON5_2	1	2	0	90	43023;1	1	8.0	1.0		43024	0	0	0	0	0		
43025	120	I_CON5_3	1	2	0	150	43024;1	1	8.0	1.0		43025	0	0	0	0	0		
44001	5	IS1610	2	32	0	0		4294967295	0.4000000059604645	1.0		44001	0	1	64	0	0	RANGE(44001)	CHASE(44001)
44002	20	IS44002	2	32	0	0		4294967295	0.4000000059604645	1.0		44002	4402	1	64	0	25	RANGE(44122);BUFF_I(298,0,3)\nRANGE(44121);BUFF_I(298,0,2)\nRANGE(44120);BUFF_I(298,0,1)\nRANGE(44002)	CHASE(44122)\nCHASE(44121)\nCHASE(44120)\nCHASE(44002)
44003	15	IS1620	2	32	1	0		4294967295	0.4000000059604645	1.0		44003	4403	1	64	0	12	RANGE(44003)	CHASE(44003)
44004	35	IS187	2	32	0	0		4294967295	0.4000000059604645	1.0		44004	4404	0	64	0	0	BUFF_I(298,0,5)\nBUFF_I(298,0,4)\nBUFF_I(298,0,3)\nBUFF_I(298,0,1)\nGO(0)	CHASE(44142)\nCHASE(44141)\nCHASE(44140)\nCHASE(44004)\nSKIP(729)
44005	90	IB007	2	32	0	120		4294967295	0.4000000059604645	1.0		44005	4405	4	64	0	30	RANGE(44150);BUFF_I(298,0,3)\nRANGE(44151);BUFF_I(298,0,2)\nRANGE(44152);BUFF_I(298,0,1)\nRANGE(44005)	CHASE(44152)\nCHASE(44151)\nCHASE(44150)\nCHASE(44005)
44006	5	IB033	2	32	0	0		4294967295	0.4000000059604645	1.0		44006	4406	2	64	0	12	BUFF_I(298,0,1)\nGO(0)	CHASE(44160)\nCHASE(44006)
44007	5	IS186	2	32	0	0		4294967295	0.4000000059604645	1.0		44007	4407	2	64	0	0	RANGE(44007)	CHASE(44007)
44008	45	IB013	2	32	1	20		4294967295	0.4000000059604645	1.0		44008	4408	2	64	0	20	RANGE(44008)	CHASE(44008)
44009	30	IS188	2	32	0	1		4294967295	0.4000000059604645	1.0		44009	4409	2	64	0	0	RANGE(44009);BUFF_I(298,0,1)\nGO(0)	CHASE(44009)\nSKIP(729)
44010	75	IB037	2	32	0	80		4294967295	0.4000000059604645	1.0		44010	4410	0	64	0	20	BUFF_I(298,0,1)\nGO(0)	CHASE(44010)\nSKIP(729)
44011	70	IS185	2	32	0	70		4294967295	0.4000000059604645	1.0		44011	4411	4	64	0	30	RANGE(44212);BUFF_I(298,0,3)\nRANGE(44211);BUFF_I(298,0,2)\nRANGE(44210);BUFF_I(298,0,1)\nRANGE(44011)	CHASE(44212)\nCHASE(44211)\nCHASE(44210)\nCHASE(44011)
44012	50	IS189	2	32	0	30		4294967295	0.4000000059604645	1.0		44012	4412	0	64	0	40	BUFF_I(298,0,5)\nBUFF_I(298,0,4)\nBUFF_I(298,0,3)\nGO(0)	CHASE(44222)\nCHASE(44221)\nCHASE(44220)\nCHASE(44012)
44013	40	IS44013	2	32	0	10		4294967295	0.4000000059604645	1.0		0	4413	4	64	0	15	BUFF_I(298,0,1)\nGO(0)	CHASE(44013)\nSKIP(729)
44014	115	IS44014	2	32	0	140		1	8.0	1.0		0	4414	0	64	0	0	GO(0)	CHASE(44014)
44015	65	IB012	2	32	1	60		4294967295	0.4000000059604645	1.0		44015	4415	4	64	0	15	RANGE(44015)	CHASE(44015)
44016	25	IS43017	2	32	1	0		4294967295	0.4000000059604645	1.0		44016	4416	1	64	0	15	GO(0)	CHASE(44016)
44017	80	IS164	2	32	0	100		4294967295	0.4000000059604645	1.0		0	4417	0	64	0	0	GO(0)	CHASE(44017)
44018	15	IS1611	2	32	0	0		4294967295	0.4000000059604645	1.0		44018	4418	0	64	0	0	GO(0)	CHASE(44018)
44019	60	IS44019	2	32	1	50		4294967295	0.4000000059604645	1.0		44019	4419	1	64	0	18	RANGE(44019)	CHASE(44019)
44020	85	IS44020	2	32	0	110		4294967295	0.4000000059604645	1.0		44020	4420	0	64	0	25	RANGE(44302);BUFF_I(298,0,3)\nRANGE(44301);BUFF_I(298,0,2)\nRANGE(44300);BUFF_I(298,0,1)\nRANGE(44020)	CHASE(44302)\nCHASE(44301)\nCHASE(44300)\nCHASE(44020)
44021	55	IS162	2	32	1	40		4294967295	0.4000000059604645	1.0		44021	4421	1	64	0	24	GO(0)	CHASE(44021)
44022	100	IS44022	2	32	0	130		4294967295	0.4000000059604645	1.0		44022	4422	4	64	0	70	RANGE(44022);BUFF_I(298,0,3)\nGO(0)	CHASE(44022)\nSKIP(731)
44023	40	I_PER2_1	1	32	0	0	44000;1	1	8.0	1.0		44023	0	0	0	0	0		
44024	80	I_PER2_2	1	32	0	90	44023;1	1	8.0	1.0		44024	0	0	0	0	0		
44025	120	I_PER2_3	1	32	0	150	44024;1	1	8.0	1.0		44025	0	0	0	0	0		
