# VENDORED MIRROR -- do not hand-edit.
# regenerate: python3 tools/pf_regen_lua_quest_criteria.py
# source: pf_bridge/gamedata/tables/QUESTDATA_TH__QUEST.tsv
# source_sha256: cc9927286def2bda166c320a2dddd16f5457eb4579ce5207a3d76758707527bd
# source_rows: 1544
# pulled: 2026-09-07
# body_sha256: 6d8af2d56b6f0c6d187a93ef9bb32809cce1c1dc2d7cfa4fdfce7d156340a897
# criteria_level is QUESTDATA n_LEVEL_EXP; multipliers are f_CASH/f_EXP/f_SP copied verbatim (float32-widened in the source).
quest_id	criteria_level	cash_multiplier	exp_multiplier	sp_multiplier
166	45	1.0	1.0	1.0
167	43	1.0	1.0	1.0
168	45	1.0	1.0	1.0
169	43	1.0	1.0	1.0
170	43	1.0	1.0	1.0
171	43	1.0	1.0	1.0
172	43	1.0	1.0	1.0
173	43	1.0	1.0	1.0
174	41	1.0	1.0	1.0
175	41	1.0	1.0	1.0
176	41	1.0	1.0	1.0
177	45	1.0	0.5	1.0
178	45	1.0	1.0	1.0
179	45	1.0	1.0	1.0
180	45	1.0	1.0	1.0
181	45	1.0	1.0	1.0
182	45	1.0	1.0	1.0
183	46	1.0	1.5	1.0
184	46	1.0	1.5	1.0
185	47	1.0	1.5	1.0
186	47	1.0	1.5	1.0
187	48	1.0	1.5	1.0
188	48	1.0	1.5	1.0
189	49	1.0	1.5	1.0
190	49	0.0	0.0	0.0
191	49	1.0	1.5	1.0
192	50	1.0	1.5	1.0
193	50	1.0	1.5	1.0
194	51	1.0	1.5	1.0
195	51	1.0	1.5	1.0
196	51	1.0	1.5	1.0
197	52	1.0	1.5	1.0
198	52	1.0	1.5	1.0
199	53	1.0	1.5	1.0
200	53	1.0	1.5	1.0
201	53	1.0	1.5	1.0
202	54	1.0	1.5	1.0
203	54	1.0	1.5	1.0
204	55	1.0	1.5	1.0
205	55	1.0	1.5	1.0
206	56	1.0	1.5	1.0
207	56	1.0	1.5	1.0
208	57	1.0	1.5	1.0
209	57	1.0	1.5	1.0
210	57	1.0	1.5	1.0
211	58	1.0	1.5	1.0
212	58	0.0	0.0	0.0
213	58	1.0	1.5	1.0
214	59	1.0	1.5	1.0
215	59	1.0	1.5	1.0
216	59	0.0	0.0	0.0
217	59	1.0	1.5	1.0
218	60	1.0	1.5	1.0
222	60	1.0	1.5	1.0
223	60	1.0	1.5	1.0
224	46	1.0	1.0	1.0
225	46	1.0	1.0	1.0
226	47	1.0	1.0	1.0
227	47	1.0	1.0	1.0
228	48	1.0	1.0	1.0
229	48	1.0	1.0	1.0
230	49	1.0	1.0	1.0
231	49	1.0	1.0	1.0
232	49	1.0	1.0	1.0
233	50	0.0	0.0	0.0
234	50	1.0	1.0	1.0
235	51	1.0	1.0	1.0
236	51	1.0	1.0	1.0
237	52	1.0	1.0	1.0
238	52	1.0	1.0	1.0
239	53	1.0	1.0	1.0
240	53	1.0	1.0	1.0
241	54	1.0	1.0	1.0
242	54	1.0	1.0	1.0
243	55	1.0	1.0	1.0
244	55	1.0	1.0	1.0
245	56	1.0	1.0	1.0
246	56	1.0	1.0	1.0
247	57	1.0	1.0	1.0
248	57	1.0	1.0	1.0
249	58	1.0	1.0	1.0
250	58	1.0	1.0	1.0
251	59	1.0	1.0	1.0
252	60	1.0	1.0	1.0
253	61	1.0	1.5	1.0
254	61	0.0	0.0	0.0
255	61	1.0	1.5	1.0
256	61	1.0	1.5	1.0
257	62	1.0	1.5	1.0
258	62	1.0	1.5	1.0
259	62	1.0	1.5	1.0
260	63	1.0	1.5	1.0
261	63	1.0	1.5	1.0
262	63	1.0	1.5	1.0
263	64	1.0	1.5	1.0
264	64	1.0	1.5	1.0
265	64	1.0	1.5	1.0
266	65	1.0	1.5	1.0
267	65	1.0	1.5	1.0
268	65	0.0	0.0	0.0
269	65	1.0	1.5	1.0
270	66	1.0	1.5	1.0
271	66	1.0	1.5	1.0
272	66	1.0	1.5	1.0
273	67	1.0	1.5	1.0
274	67	1.0	1.5	1.0
275	67	1.0	1.0	1.0
276	67	1.0	1.5	1.0
277	67	1.0	1.5	1.0
278	67	1.0	1.5	1.0
279	85	1.0	1.0	1.0
280	85	0.0	0.0	0.0
281	85	1.0	1.0	1.0
282	68	1.0	1.5	1.0
283	68	1.0	1.5	1.0
284	68	1.0	1.5	1.0
285	68	0.0	0.0	0.0
286	68	1.0	1.5	1.0
287	69	1.0	1.5	1.0
288	69	1.0	1.5	1.0
289	69	1.0	1.5	1.0
290	69	1.0	1.5	1.0
291	70	0.0	0.0	0.0
292	70	1.0	1.5	1.0
293	70	1.0	1.5	1.0
294	65	1.0	1.0	1.0
295	61	1.0	1.0	1.0
296	61	1.0	1.0	1.0
297	62	1.0	1.0	1.0
298	62	1.0	1.0	1.0
299	63	1.0	1.0	1.0
300	63	1.0	1.0	1.0
301	63	1.0	1.0	1.0
302	64	1.0	1.0	1.0
303	64	1.0	1.0	1.0
304	65	1.0	1.0	1.0
305	65	1.0	1.0	1.0
306	66	1.0	1.0	1.0
307	66	1.0	1.0	1.0
308	61	1.0	1.0	1.0
309	67	1.0	1.0	1.0
310	67	1.0	1.0	1.0
311	67	1.0	1.0	1.0
312	68	1.0	1.0	1.0
313	68	1.0	1.0	1.0
314	68	1.0	1.0	1.0
315	69	1.0	1.0	1.0
316	69	1.0	1.0	1.0
317	69	1.0	1.0	1.0
318	70	1.0	1.0	1.0
319	70	1.0	1.0	1.0
320	70	1.0	1.0	1.0
321	70	1.0	1.0	1.0
322	70	1.0	1.5	1.0
323	26	1.0	1.0	1.0
324	71	1.0	1.5	1.0
325	71	1.0	1.5	1.0
326	71	1.0	1.5	1.0
327	72	1.0	1.5	1.0
328	72	1.0	1.5	1.0
329	72	1.0	1.5	1.0
330	73	1.0	1.5	1.0
331	73	1.0	1.5	1.0
332	73	1.0	1.5	1.0
333	74	0.0	0.0	0.0
334	74	1.0	1.5	1.0
335	74	1.0	1.5	1.0
336	75	1.0	1.5	1.0
337	75	1.0	1.5	1.0
338	75	1.0	1.5	1.0
339	76	1.0	1.5	1.0
340	76	1.0	1.5	1.0
341	76	1.0	1.5	1.0
342	77	1.0	1.5	1.0
343	77	1.0	1.5	1.0
344	77	1.0	1.5	1.0
345	78	1.0	1.5	1.0
346	78	1.0	1.5	1.0
347	78	0.0	0.0	0.0
348	78	1.0	1.5	1.0
349	79	1.0	1.5	1.0
350	79	1.0	1.5	1.0
351	79	1.0	1.5	1.0
352	79	1.0	1.5	1.0
353	79	1.0	1.5	1.0
354	80	1.0	1.5	1.0
355	72	1.0	1.0	1.0
356	78	1.0	1.5	1.0
357	30	1.0	1.5	1.0
358	80	1.0	1.5	1.0
359	80	1.0	1.5	1.0
360	80	1.0	1.5	1.0
361	81	1.0	1.5	1.0
362	71	1.0	1.0	1.0
363	71	1.0	1.0	1.0
364	72	1.0	1.0	1.0
365	72	1.0	1.0	1.0
366	73	1.0	1.0	1.0
367	73	1.0	1.0	1.0
368	74	1.0	1.0	1.0
369	74	1.0	1.0	1.0
370	78	1.0	1.0	1.0
371	75	1.0	1.0	1.0
372	76	1.0	1.0	1.0
373	76	1.0	1.0	1.0
374	77	1.0	1.0	1.0
375	78	0.0	0.0	0.0
376	77	1.0	1.0	1.0
377	78	1.0	1.0	1.0
378	78	1.0	1.0	1.0
379	78	0.0	0.0	0.0
380	78	0.0	0.0	0.0
381	79	1.0	1.0	1.0
382	79	1.0	1.0	1.0
383	79	1.0	1.0	1.0
384	79	1.0	1.0	1.0
385	79	1.0	1.0	1.0
386	81	0.0	0.0	0.0
387	81	1.0	1.5	1.0
388	81	1.0	1.5	1.0
389	81	1.0	1.5	1.0
390	81	1.0	1.5	1.0
391	81	1.0	1.5	1.0
392	81	1.0	1.5	1.0
393	81	1.0	1.5	1.0
394	82	1.0	1.5	1.0
395	82	1.0	1.5	1.0
396	82	1.0	1.5	1.0
397	82	1.0	1.5	1.0
398	82	1.0	1.5	1.0
399	83	1.0	1.5	1.0
400	83	1.0	1.5	1.0
401	83	1.0	1.5	1.0
402	83	1.0	1.5	1.0
403	83	1.0	1.5	1.0
404	84	1.0	1.5	1.0
405	84	1.0	1.5	1.0
406	84	1.0	1.5	1.0
407	84	1.0	1.5	1.0
408	84	1.0	1.5	1.0
409	85	1.0	1.5	1.0
410	85	1.0	1.5	1.0
411	85	1.0	1.5	1.0
412	85	1.0	1.5	1.0
413	86	1.0	1.5	1.0
414	86	1.0	1.5	1.0
415	86	1.0	1.5	1.0
416	86	0.0	0.0	0.0
417	86	1.0	1.5	1.0
418	86	1.0	1.5	1.0
419	86	1.0	1.5	1.0
420	86	1.0	1.5	1.0
421	86	1.0	1.5	1.0
422	81	1.0	1.0	1.0
423	81	1.0	1.0	1.0
424	81	1.0	1.0	1.0
425	81	1.0	1.0	1.0
426	81	1.0	1.0	1.0
427	81	1.0	1.0	1.0
428	82	1.0	1.0	1.0
429	82	1.0	1.0	1.0
430	82	1.0	1.0	1.0
431	82	1.0	1.0	1.0
432	82	1.0	1.0	1.0
433	83	1.0	1.0	1.0
434	83	1.0	1.0	1.0
435	83	1.0	1.0	1.0
436	83	1.0	1.0	1.0
437	84	1.0	1.0	1.0
438	84	1.0	1.0	1.0
439	82	0.0	0.0	0.0
440	82	0.0	0.0	0.0
441	82	0.0	0.0	0.0
442	85	1.0	1.0	1.0
443	85	1.0	1.0	1.0
444	85	1.0	1.0	1.0
445	85	1.0	1.0	1.0
446	85	1.0	1.0	1.0
447	85	1.0	1.0	1.0
448	85	1.0	1.0	1.0
449	85	1.0	1.0	1.0
450	85	1.0	1.0	1.0
451	85	1.0	1.0	1.0
453	85	0.0	0.0	0.0
454	86	1.0	1.5	1.0
455	86	0.0	0.0	0.0
456	86	1.0	1.5	1.0
457	87	1.0	1.5	1.0
458	87	0.0	0.0	0.0
459	87	1.0	1.5	1.0
460	87	1.0	1.5	1.0
461	88	1.0	1.5	1.0
462	88	1.0	1.5	1.0
463	88	1.0	1.5	1.0
464	88	1.0	1.5	1.0
465	88	1.0	1.5	1.0
466	88	1.0	1.5	1.0
467	89	1.0	1.5	1.0
468	89	1.0	1.5	1.0
469	89	1.0	1.5	1.0
470	45	1.0	1.5	1.0
471	89	1.0	1.5	1.0
472	90	1.0	1.5	1.0
473	90	0.0	0.0	0.0
474	90	1.0	1.5	1.0
475	90	1.0	1.5	1.0
476	90	1.0	1.5	1.0
477	91	1.0	1.5	1.0
478	91	1.0	1.5	1.0
479	91	1.0	1.5	1.0
480	91	1.0	1.5	1.0
481	91	1.0	1.5	1.0
482	92	1.0	1.5	1.0
483	92	1.0	1.5	1.0
484	92	1.0	1.5	1.0
485	92	1.0	1.5	1.0
486	92	1.0	1.5	1.0
487	92	1.0	1.5	1.0
488	87	1.0	1.0	1.0
489	87	1.0	1.0	1.0
490	87	1.0	1.0	1.0
491	87	1.0	1.0	1.0
492	87	1.0	1.0	1.0
493	88	1.0	1.0	1.0
494	88	1.0	1.0	1.0
495	88	1.0	1.0	1.0
496	88	1.0	1.0	1.0
497	89	1.0	1.0	1.0
498	89	1.0	1.0	1.0
499	89	1.0	1.0	1.0
500	89	1.0	1.0	1.0
501	90	1.0	1.0	1.0
502	93	0.0	0.0	0.0
503	90	1.0	1.0	1.0
504	90	1.0	1.0	1.0
505	91	1.0	1.0	1.0
506	91	1.0	1.0	1.0
507	91	1.0	1.0	1.0
508	91	1.0	1.0	1.0
509	91	1.0	1.0	1.0
510	92	1.0	1.0	1.0
511	92	1.0	1.0	1.0
512	92	1.0	1.0	1.0
513	92	0.0	0.0	0.0
514	92	1.0	1.5	1.0
515	93	1.0	1.5	1.0
516	93	1.0	1.5	1.0
517	93	1.0	1.5	1.0
518	93	1.0	1.5	1.0
519	93	1.0	1.5	1.0
520	93	1.0	1.5	1.0
521	94	1.0	1.5	1.0
522	94	1.0	1.5	1.0
523	94	1.0	1.5	1.0
524	94	1.0	1.5	1.0
525	94	1.0	1.5	1.0
526	94	0.0	0.0	0.0
527	95	1.0	1.5	1.0
528	95	1.0	1.5	1.0
529	95	1.0	1.5	1.0
530	95	1.0	1.5	1.0
531	95	1.0	1.5	1.0
532	96	1.0	1.5	1.0
533	96	1.0	1.5	1.0
534	96	1.0	1.5	1.0
535	96	1.0	1.5	1.0
536	96	1.0	1.5	1.0
537	97	1.0	1.5	1.0
538	97	1.0	1.5	1.0
539	97	1.0	1.5	1.0
540	97	1.0	1.5	1.0
541	97	1.0	1.5	1.0
542	98	1.0	1.5	1.0
543	98	1.0	1.5	1.0
544	98	1.0	1.5	1.0
545	98	1.0	1.5	1.0
546	98	1.0	1.5	1.0
547	93	1.0	1.0	1.0
548	93	1.0	1.0	1.0
549	93	1.0	1.0	1.0
550	93	1.0	1.0	1.0
551	93	1.0	1.0	1.0
552	94	1.0	1.0	1.0
553	94	1.0	1.0	1.0
554	94	1.0	1.0	1.0
555	94	1.0	1.0	1.0
556	94	1.0	1.0	1.0
557	95	1.0	1.0	1.0
558	95	1.0	1.0	1.0
559	95	1.0	1.0	1.0
560	95	1.0	1.0	1.0
561	96	1.0	1.0	1.0
562	96	1.0	1.0	1.0
563	96	1.0	1.0	1.0
564	96	1.0	1.0	1.0
565	97	1.0	1.0	1.0
566	97	1.0	1.0	1.0
567	97	1.0	1.0	1.0
568	98	1.0	1.0	1.0
569	98	1.0	1.0	1.0
570	98	1.0	1.0	1.0
571	93	0.0	0.0	0.0
572	99	1.0	1.5	1.0
573	99	1.0	1.5	1.0
574	99	1.0	1.5	1.0
575	99	1.0	1.5	1.0
576	99	1.0	1.5	1.0
577	99	1.0	1.5	1.0
578	99	1.0	1.5	1.0
579	99	1.0	1.5	1.0
580	100	1.0	1.5	1.0
581	100	1.0	1.5	1.0
582	100	1.0	1.5	1.0
583	100	1.0	1.5	1.0
584	100	1.0	1.5	1.0
585	100	1.0	1.5	1.0
586	100	1.0	1.5	1.0
587	93	0.0	0.0	0.0
588	101	1.0	2.0	1.0
589	101	1.0	1.5	1.0
590	101	1.0	1.5	1.0
591	101	1.0	1.5	1.0
592	102	1.0	1.5	1.0
593	102	1.0	1.5	1.0
594	102	1.0	1.5	1.0
595	102	1.0	1.5	1.0
596	103	1.0	1.5	1.0
597	103	1.0	1.5	1.0
598	103	1.0	1.5	1.0
599	103	1.0	1.5	1.0
600	104	1.0	1.5	1.0
601	104	1.0	1.5	1.0
602	104	0.0	0.0	0.0
603	104	1.0	1.5	1.0
604	105	1.0	1.5	1.0
605	105	1.0	1.5	1.0
606	105	1.0	1.5	1.0
607	105	1.0	1.5	1.0
608	106	1.0	1.5	1.0
609	106	1.0	1.5	1.0
610	106	1.0	1.5	1.0
611	106	1.0	1.5	1.0
612	107	1.0	1.5	1.0
613	107	1.0	1.5	1.0
614	107	1.0	1.5	1.0
615	107	1.0	1.5	1.0
616	108	1.0	1.5	1.0
617	108	1.0	1.5	1.0
618	108	1.0	1.5	1.0
619	108	1.0	1.5	1.0
620	108	1.0	1.5	1.0
629	110	1.0	1.5	1.0
630	110	1.0	1.5	1.0
698	35	0.0	0.0	0.0
699	81	0.0	0.0	0.0
700	67	0.0	0.0	0.0
701	85	0.0	0.0	0.0
702	85	0.0	0.0	0.0
703	78	0.0	0.0	0.0
705	4	1.0	1.5	1.0
709	110	0.0	0.0	0.0
721	15	1.0	1.5	1.0
722	25	1.0	1.5	1.0
738	10	0.0	0.0	0.0
739	33	1.0	1.5	1.0
740	55	1.0	1.5	1.0
741	55	1.0	1.5	1.0
742	66	1.0	1.5	1.0
743	67	1.0	1.5	1.0
744	70	1.0	1.5	1.0
745	70	1.0	1.5	1.0
746	76	1.0	1.5	1.0
748	1	1.0	1.5	1.0
750	99	1.0	1.0	1.0
751	99	1.0	1.0	1.0
752	99	1.0	1.0	1.0
753	99	1.0	1.0	1.0
754	100	1.0	1.0	1.0
755	100	1.0	1.0	1.0
756	100	1.0	1.0	1.0
757	100	1.0	1.0	1.0
758	101	1.0	1.0	1.0
759	101	1.0	1.0	1.0
760	101	1.0	1.0	1.0
761	102	1.0	1.0	1.0
762	102	1.0	1.0	1.0
763	102	1.0	1.0	1.0
764	102	1.0	1.0	1.0
765	102	1.0	1.0	1.0
766	103	1.0	1.0	1.0
767	103	1.0	1.0	1.0
768	103	0.0	0.0	0.0
769	103	0.0	0.0	0.0
770	103	0.0	0.0	0.0
771	104	1.0	1.0	1.0
772	104	1.0	1.0	1.0
773	104	1.0	1.0	1.0
774	104	1.0	1.0	1.0
775	105	1.0	1.0	1.0
776	105	1.0	1.0	1.0
777	105	1.0	1.0	1.0
778	106	1.0	1.0	1.0
779	106	1.0	1.0	1.0
780	106	1.0	1.0	1.0
781	106	1.0	1.0	1.0
782	106	1.0	1.0	1.0
783	106	1.0	1.0	1.0
784	107	1.0	1.0	1.0
785	107	1.0	1.0	1.0
786	107	1.0	1.0	1.0
787	107	1.0	1.0	1.0
788	108	1.0	1.0	1.0
789	108	1.0	1.0	1.0
790	108	1.0	1.0	1.0
791	108	1.0	1.0	1.0
792	109	1.0	1.0	1.0
793	109	1.0	1.0	1.0
794	109	1.0	1.0	1.0
795	109	1.0	1.0	1.0
796	109	1.0	1.0	1.0
797	109	1.0	1.0	1.0
798	109	1.0	1.0	1.0
799	109	1.0	1.0	1.0
851	78	0.0	0.0	0.0
852	43	1.0	1.5	1.0
853	40	1.0	1.5	1.0
854	60	1.0	1.5	1.0
855	80	1.0	1.5	1.0
856	85	1.0	1.5	1.0
857	92	1.0	1.5	1.0
858	100	1.0	1.5	1.0
859	45	1.0	1.5	1.0
860	45	1.0	1.5	1.0
861	45	1.0	1.5	1.0
862	45	1.0	1.5	1.0
863	70	1.0	1.5	1.0
864	61	1.0	1.5	1.0
869	92	0.0	0.0	0.0
870	92	1.0	1.5	1.0
871	92	1.0	1.5	1.0
872	92	1.0	1.5	1.0
873	112	1.0	1.5	1.0
874	115	1.0	1.5	1.0
875	67	0.0	0.0	0.0
879	98	0.0	0.0	0.0
880	106	0.0	0.0	0.0
883	1	0.0	0.0	0.0
885	35	1.0	1.5	1.0
886	35	1.0	1.5	1.0
887	35	1.0	1.5	1.0
888	30	0.0	0.0	0.0
889	1	1.0	1.5	1.0
890	30	0.0	0.0	0.0
892	1	1.0	1.0	1.0
893	20	0.0	0.0	0.0
895	42	1.0	1.5	1.0
900	11	1.0	1.5	1.0
902	1	1.0	1.0	1.0
903	55	1.0	1.0	1.0
904	1	1.0	1.0	1.0
905	26	1.0	1.5	1.0
907	1	1.0	1.0	1.0
908	25	1.0	1.5	1.0
910	25	1.0	1.5	1.0
912	80	1.0	1.0	1.0
913	1	1.0	1.0	1.0
914	20	1.0	1.5	1.0
915	20	1.0	1.5	1.0
916	20	1.0	1.5	1.0
917	1	1.0	1.0	1.0
918	25	1.0	1.5	1.0
919	35	1.0	1.5	1.0
920	1	1.0	1.5	1.0
921	15	1.0	1.0	1.0
922	1	1.0	1.0	1.0
923	1	1.0	1.0	1.0
924	20	0.0	0.0	0.0
926	20	1.0	1.5	1.0
927	20	1.0	1.5	1.0
929	1	1.0	1.5	1.0
930	1	1.0	1.5	1.0
931	40	1.0	1.5	1.0
932	1	1.0	1.0	1.0
933	50	1.0	1.5	1.0
934	69	1.0	1.5	1.0
935	69	1.0	1.5	1.0
936	69	1.0	1.5	1.0
937	69	1.0	1.5	1.0
938	69	1.0	1.5	1.0
939	69	1.0	1.5	1.0
940	15	1.0	1.0	1.0
941	55	0.0	0.0	0.0
942	1	0.0	0.0	0.0
948	40	1.0	1.0	1.0
949	60	1.0	0.5	1.0
966	20	1.0	1.0	1.0
967	40	1.0	1.0	1.0
968	50	1.0	1.0	1.0
969	60	1.0	1.0	1.0
971	80	1.0	1.0	1.0
972	81	1.0	1.0	1.0
973	85	1.0	1.0	1.0
974	90	1.0	1.0	1.0
975	95	1.0	1.0	1.0
976	100	1.0	1.0	1.0
977	105	1.0	1.0	1.0
978	110	1.0	1.0	1.0
981	5	1.0	1.0	1.0
983	15	1.0	1.5	1.0
984	15	1.0	1.5	1.0
985	15	1.0	1.5	1.0
986	15	1.0	1.5	1.0
987	15	1.0	1.5	1.0
988	15	1.0	1.5	1.0
989	1	0.0	0.0	0.0
990	20	0.0	0.0	0.0
991	20	0.0	0.0	0.0
992	20	1.0	1.5	1.0
993	1	0.0	0.0	0.0
994	15	1.0	1.5	1.0
997	1	0.0	0.0	0.0
998	1	1.0	1.5	1.0
999	26	1.0	1.0	1.0
1003	120	0.0	0.0	0.0
1005	120	0.0	0.0	0.0
1007	120	0.0	0.0	0.0
1009	120	0.0	0.0	0.0
1011	120	0.0	0.0	0.0
1013	120	0.0	0.0	0.0
1015	120	0.0	0.0	0.0
1024	52	1.0	1.5	1.0
1025	54	1.0	1.5	1.0
1026	56	1.0	1.5	1.0
1027	58	1.0	1.5	1.0
1028	60	1.0	1.5	1.0
1029	62	1.0	1.5	1.0
1030	64	1.0	1.5	1.0
1031	66	1.0	1.5	1.0
1032	68	1.0	1.5	1.0
1033	70	1.0	1.5	1.0
1034	72	1.0	1.5	1.0
1035	74	1.0	1.5	1.0
1036	76	1.0	1.5	1.0
1037	78	1.0	1.5	1.0
1038	80	1.0	1.5	1.0
1039	82	1.0	1.5	1.0
1040	84	1.0	1.5	1.0
1041	86	1.0	1.5	1.0
1042	88	1.0	1.5	1.0
1043	90	1.0	1.5	1.0
1044	92	1.0	1.5	1.0
1045	94	1.0	1.5	1.0
1046	96	1.0	1.5	1.0
1047	98	1.0	1.5	1.0
1048	100	1.0	1.5	1.0
1049	102	1.0	1.5	1.0
1050	104	1.0	1.5	1.0
1051	106	1.0	1.5	1.0
1052	108	1.0	1.5	1.0
1053	110	1.0	1.5	1.0
1054	112	1.0	1.5	1.0
1055	114	1.0	1.5	1.0
1056	116	1.0	1.5	1.0
1057	118	1.0	1.5	1.0
1058	120	1.0	1.5	1.0
1060	5	1.0	1.0	1.0
1061	5	1.0	1.0	1.0
1062	5	1.0	1.0	1.0
1063	5	1.0	1.0	1.0
1064	5	1.0	1.0	1.0
1065	5	1.0	1.0	1.0
1066	6	1.0	1.0	1.0
1067	6	1.0	1.0	1.0
1068	6	1.0	1.0	1.0
1069	6	1.0	1.0	1.0
1070	6	1.0	1.0	1.0
1071	6	1.0	1.0	1.0
1072	1	1.0	1.0	1.0
1073	1	1.0	1.0	1.0
1074	1	1.0	1.0	1.0
1075	1	1.0	1.0	1.0
1076	1	1.0	1.0	1.0
1077	1	1.0	1.0	1.0
1078	1	1.0	1.0	1.0
1079	1	1.0	1.0	1.0
1080	5	1.0	1.0	1.0
1081	4	1.0	1.0	1.0
1082	1	1.0	1.0	1.0
1083	1	1.0	1.0	1.0
1084	1	1.0	1.0	1.0
1085	1	1.0	1.0	1.0
1086	1	1.0	1.0	1.0
1087	1	1.0	1.0	1.0
1088	1	1.0	1.0	1.0
1089	1	1.0	1.0	1.0
1090	1	1.0	1.0	1.0
1091	1	1.0	1.0	1.0
1092	1	1.0	1.0	1.0
1093	1	1.0	1.0	1.0
1094	1	1.0	1.0	1.0
1095	1	1.0	1.0	1.0
